"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Unit;Portion
279596471412;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 47";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3831-6635-4737-a335-316563396637/88815303.jpg;0;;;;;60DMe4Ud4SI4Ak7FLjIg;;0;0;0;0;;0
887932327952;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 48";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3661-3364-4831-a238-626632633836/6332cf45b687002078a88d92d21127d7.jpg;0;;;;;zcr0kjT0cyNoTBibZvLb;;0;0;0;0;;0
616792145672;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 49";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6564-3264-4364-b462-363537323439/d3a87392ba89fd245f5bce53e2dbe696.jpg;0;;;;;dj4yabG1XIbLHPR88UUk;;0;0;0;0;;0
394972824252;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 50";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6664-3361-4563-b630-353166326166/43884470c8ff353dd6ce89ec81762929.jpg;0;;;;;Mp19ix2giFmrYfCnHhdG;;0;0;0;0;;0
809148734302;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 51";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6661-6231-4537-b161-633238363336/136e36fb402c5e94bbf074ec25c95034.jpg;0;;;;;tDo1L5bu75im1EOtkSco;;0;0;0;0;;0
698549621992;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 52";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3930-6133-4738-b837-336466353664/f7430ada3329c001979a898a7e54e803.jpg;0;;;;;txSNB8dIO5smRjlFTLa6;;0;0;0;0;;0
527862912542;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 53";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3262-3831-4364-b862-393865376163/51385116.jpg;0;;;;;u964UAl6E2ETtmlc0eKF;;0;0;0;0;;0
373081755182;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 54";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3930-6338-4632-b862-343038333535/84672334.jpg;0;;;;;eJPvTe101nbVGbd8dYzb;;0;0;0;0;;0
567319335092;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 55";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3530-6439-4437-b066-656537343733/68542944.jpg;0;;;;;8SrRz1TI7hxHtzrE6dDZ;;0;0;0;0;;0
932482378272;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 56";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3962-6162-4630-b761-326139396239/51066452.jpg;0;;;;;mUtIHazGROt12yXZOzma;;0;0;0;0;;0
146127226192;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 57";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3763-6231-4166-b962-373631333832/122c4f0c5b7e919d09efe971e8217502.jpg;0;;;;;lDIG1dF1F0zy5AU3PbjR;;0;0;0;0;;0
849727412352;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 58";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3538-6536-4439-b761-323633653437/66013875.jpg;0;;;;;Rmja1cdCNcRHsIuTKzdC;;0;0;0;0;;0
289508581482;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 59";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3462-3233-4236-b062-653061353666/b68808ea71efac3f1ea3aa17e9ae7da7.jpg;0;;;;;FDItRlAxvBfEyApLyX39;;0;0;0;0;;0
308109694712;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 60";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6262-3032-4931-b665-396263356663/37794895.jpg;0;;;;;56LtKg4ZfokpfPfI2KoD;;0;0;0;0;;0
